Age Group,Male Participation,Female Participation,Total Participation
Youth (<24),30.8,5.3,36.1
Young Adults (25–34),45.4,7.6,53.0
Midlife (35–44),5.8,1.5,7.3
Experienced (45–54),1.7,0.6,2.3
Seniors (55+),0.9,0.4,1.3
Total,84.6,15.4,100.0
